Year,State,Coal_Consumption_Mt,CO2_Emissions_MtCO2e,Carbon_Credits_Earned,Mitigation_Strategies,Carbon_Sinks_MtCO2e,Excavation,Transportation,Fuel,Equipment,Workers,FuelType,Reduction,Output
2015,Chhattisgarh,244.02,293.44,46961,Coal Gasification,36.45,2170.47,99.18,5297.97,125.62,4338,Diesel,6.38,907.76
2024,West Bengal,126.43,572.32,110122,Renewable Energy,27.05,1025.39,195.33,9287.62,400.75,2062,Coal,6.78,2571.6
2019,Maharashtra,254.51,391.54,165871,Carbon Capture,48.17,3393.35,75.02,7785.93,76.22,1403,Diesel,13.64,2964.12
2019,West Bengal,62.82,281.08,149691,Coal Gasification,11.82,4158.06,124.58,424.2,423.31,3959,Coal,1.5,1182.63
2022,Chhattisgarh,250.22,173.6,109010,Carbon Capture,48.46,3530.05,160.0,2999.38,139.85,2598,Coal,15.53,820.75
2024,Maharashtra,161.76,383.6,106437,Afforestation,38.28,2615.4,16.08,3251.54,347.31,3706,Diesel,8.45,2685.1
2022,Maharashtra,155.19,533.11,111380,Renewable Energy,8.18,2122.57,178.36,9879.75,208.07,2631,Diesel,18.03,2422.72
2017,Telangana,213.4,198.18,53427,Carbon Capture,32.59,3489.39,181.54,7111.96,424.72,2419,Gas,7.86,626.02
2015,West Bengal,271.66,546.73,41938,None,45.86,3868.43,185.05,8313.36,407.53,3157,Coal,16.6,4073.44
2021,Chhattisgarh,141.32,338.13,24509,Carbon Capture,24.33,3078.22,69.51,5930.63,187.21,186,Coal,29.3,2295.45
2022,Maharashtra,101.52,514.62,168740,Afforestation,19.2,725.43,44.88,7881.53,342.25,810,Gas,28.4,2936.87
2019,Madhya Pradesh,71.74,276.69,140023,Renewable Energy,18.74,4834.47,87.67,790.72,196.72,3077,Gas,10.9,4542.82
2023,Odisha,58.49,138.17,124757,Afforestation,14.38,615.41,51.98,3443.16,167.61,4746,Coal,1.59,3561.64
2022,West Bengal,125.02,105.75,153576,None,5.32,3819.87,27.96,2704.38,299.65,186,Diesel,3.29,1970.17
2018,Jharkhand,221.95,357.23,94420,Afforestation,42.54,3148.93,52.68,6107.02,180.37,3987,Coal,16.2,3890.92
2021,Chhattisgarh,99.79,472.27,85980,Afforestation,15.34,3433.49,108.21,2577.51,196.81,3882,Diesel,14.78,1323.62
2019,Madhya Pradesh,77.8,273.98,190573,Energy Efficiency,21.11,4191.1,155.08,512.71,194.62,1892,Gas,18.12,4927.32
2023,Jharkhand,217.14,362.32,32453,Carbon Capture,26.52,766.9,129.47,5690.9,201.45,240,Gas,20.38,596.55
2021,Maharashtra,130.43,527.58,180166,Energy Efficiency,46.58,1913.74,85.58,8168.96,373.84,2932,Diesel,23.42,3220.32
2022,Chhattisgarh,198.86,422.06,66732,Afforestation,15.29,2569.5,171.75,9788.25,138.26,3323,Gas,18.45,2089.45
2016,Madhya Pradesh,176.44,489.33,143492,Coal Gasification,9.16,4634.8,169.61,8235.72,262.91,615,Coal,1.64,2625.37
2022,Chhattisgarh,219.2,199.62,169798,Energy Efficiency,14.41,1118.29,81.62,3730.78,216.6,1140,Gas,26.01,2024.95
2021,Chhattisgarh,296.48,490.77,80353,Afforestation,7.8,3064.07,155.95,7283.11,298.12,3026,Coal,3.1,3863.25
2021,West Bengal,204.08,267.06,97766,Energy Efficiency,30.36,1757.1,169.26,2815.13,285.8,1469,Diesel,12.25,942.27
2016,Maharashtra,197.32,518.8,133115,Energy Efficiency,27.1,1318.63,102.35,8987.88,385.83,726,Coal,9.02,1905.03
2017,Jharkhand,127.63,272.26,156162,Renewable Energy,31.11,2704.19,26.13,7946.08,197.8,4414,Coal,10.72,247.49
2017,Telangana,211.62,211.34,43486,Afforestation,27.62,4410.94,157.28,7233.97,82.45,4095,Coal,18.5,535.28
2024,Chhattisgarh,214.94,478.38,70292,None,24.62,3663.42,49.13,5579.7,112.23,2091,Coal,15.79,3043.0
2018,Jharkhand,269.49,492.11,92251,Coal Gasification,43.96,2291.27,38.14,9286.06,67.82,578,Gas,10.67,483.36
2020,West Bengal,262.59,503.97,169219,Coal Gasification,27.7,2559.96,89.25,3420.69,155.22,4517,Coal,10.94,1404.38
2018,Odisha,51.59,322.05,126696,Energy Efficiency,49.92,1625.86,36.96,1097.36,180.57,4870,Coal,17.3,1320.88
2020,Odisha,63.84,141.81,138780,Carbon Capture,45.98,3233.53,112.83,699.01,424.4,1491,Gas,8.17,3138.74
2020,Madhya Pradesh,253.11,430.72,35797,Energy Efficiency,12.41,3212.0,101.67,799.22,301.5,778,Diesel,17.91,397.78
2017,Maharashtra,198.72,385.59,145970,Renewable Energy,44.08,3972.28,58.27,7144.31,116.47,4334,Diesel,0.54,4014.08
2015,Madhya Pradesh,87.6,404.39,185510,Afforestation,29.34,2175.97,59.91,3047.99,337.88,4266,Diesel,19.02,618.81
2018,Chhattisgarh,263.76,371.78,165167,Afforestation,12.45,2466.8,119.1,6285.33,216.02,3380,Diesel,18.23,2010.02
2024,Odisha,194.02,417.74,105564,Renewable Energy,47.22,2248.39,103.61,3822.68,180.99,1222,Gas,16.43,981.66
2024,West Bengal,205.37,409.8,17881,Renewable Energy,18.21,2296.52,194.23,3212.57,307.81,2068,Gas,2.78,1080.9
2018,Madhya Pradesh,157.86,396.87,41978,Carbon Capture,25.52,4299.97,61.6,3413.52,266.2,800,Coal,15.71,4659.74
2016,Chhattisgarh,185.28,587.88,100463,Renewable Energy,32.09,1031.15,139.68,1440.86,180.48,4071,Gas,15.17,1808.13
2018,Jharkhand,65.33,351.06,60387,Renewable Energy,17.39,3161.44,160.52,7474.55,411.03,395,Gas,28.42,4006.73
2016,Odisha,73.23,149.41,30637,Carbon Capture,8.09,4628.12,168.75,534.93,231.83,4926,Diesel,28.03,4298.12
2020,Chhattisgarh,117.3,438.95,80368,Afforestation,36.93,4033.68,195.04,6587.41,408.25,3179,Diesel,5.9,2018.56
2024,Jharkhand,78.64,448.62,40286,Renewable Energy,31.95,770.94,125.47,3882.16,109.71,3702,Diesel,9.67,3059.14
2024,Madhya Pradesh,119.68,294.21,22760,Carbon Capture,15.34,3701.18,136.09,3550.68,313.55,624,Coal,6.2,2343.62
2023,Odisha,137.56,223.12,194571,Coal Gasification,33.77,4708.36,18.24,4312.13,284.78,3039,Coal,23.22,3436.85
2020,Jharkhand,182.51,397.05,165961,Coal Gasification,14.4,740.93,76.54,5930.04,243.31,260,Diesel,9.47,4459.39
2022,Jharkhand,52.74,174.92,68542,Renewable Energy,15.0,1565.27,26.47,3068.74,272.19,4283,Diesel,4.24,3315.59
2016,West Bengal,83.57,162.54,28988,Carbon Capture,45.54,4142.34,89.02,4294.94,339.6,840,Gas,2.4,1165.53
2018,Jharkhand,299.68,316.8,61982,None,18.45,4585.8,60.44,1584.87,333.95,1648,Gas,13.19,980.71
2022,Madhya Pradesh,235.65,452.67,103738,Energy Efficiency,18.97,1669.94,69.9,3022.88,145.94,1178,Diesel,21.12,2429.23
2022,Maharashtra,225.81,243.94,154416,None,20.22,582.25,90.91,9570.71,159.93,1507,Gas,7.14,687.86
2019,Jharkhand,182.83,326.23,127796,Carbon Capture,26.73,2798.22,164.38,5946.02,462.27,2419,Coal,28.98,4959.99
2023,Maharashtra,201.48,577.18,125342,Afforestation,28.44,1245.13,174.41,1703.55,330.32,3960,Gas,16.16,2861.39
2024,Odisha,170.58,233.92,31230,Coal Gasification,19.14,792.11,135.34,9648.59,307.38,1765,Coal,15.32,2556.91
2018,Jharkhand,131.7,437.4,188405,Carbon Capture,5.2,3307.05,41.52,3356.17,481.29,1707,Diesel,23.96,1999.23
2023,Madhya Pradesh,236.36,413.5,21108,Coal Gasification,9.92,1379.99,147.51,3204.64,138.82,3815,Diesel,6.37,4917.02
2024,Telangana,175.72,461.04,184311,Coal Gasification,26.49,3222.77,40.39,347.01,96.14,2809,Diesel,20.26,3849.81
2019,Odisha,183.21,159.66,76379,Afforestation,12.68,2852.37,110.3,8706.62,494.65,2759,Coal,25.58,1143.57
2020,Odisha,228.86,466.68,120720,Coal Gasification,18.06,3025.67,48.96,1388.76,94.45,3947,Gas,29.41,2158.38
2015,West Bengal,110.03,354.61,86558,None,11.6,1217.79,125.8,3487.07,268.24,2477,Coal,21.2,2436.14
2015,Maharashtra,181.74,438.38,52357,Afforestation,8.16,4923.8,111.27,8735.37,365.95,3271,Coal,1.97,1144.77
2024,Jharkhand,261.53,241.13,68024,None,34.81,2895.88,28.88,2047.81,499.52,2628,Diesel,16.86,1885.27
2015,Madhya Pradesh,143.24,561.54,39284,Renewable Energy,44.76,4392.53,197.75,9082.75,272.29,766,Diesel,14.3,1180.53
2021,Madhya Pradesh,66.06,589.77,123388,Afforestation,44.7,2777.44,76.55,4839.59,150.9,1573,Gas,25.16,519.23
2021,West Bengal,255.67,320.78,155508,Afforestation,40.65,3769.06,32.51,6678.36,346.8,2353,Gas,24.14,2468.64
2016,Maharashtra,296.45,131.25,29063,Carbon Capture,35.23,4943.62,170.73,8874.39,434.37,3279,Diesel,10.6,706.9
2016,Chhattisgarh,218.37,584.75,11310,Coal Gasification,31.12,1932.65,134.52,3283.66,215.19,4641,Gas,4.84,4597.74
2016,Madhya Pradesh,284.38,584.95,35033,None,48.52,2484.41,96.85,8833.89,165.24,3358,Diesel,10.96,1198.5
2023,Telangana,242.59,304.49,167092,Energy Efficiency,8.34,504.81,107.36,6411.83,404.07,3129,Gas,2.05,1169.95
2020,Chhattisgarh,286.93,316.37,14534,Coal Gasification,48.55,2998.87,88.13,6442.52,421.92,3701,Coal,0.87,1056.38
2018,Jharkhand,248.84,237.22,45020,Carbon Capture,21.58,2277.84,139.21,5955.33,314.22,298,Coal,14.79,1683.72
2021,Madhya Pradesh,268.07,306.9,180065,Energy Efficiency,15.06,2074.82,83.14,4778.24,332.23,1123,Gas,29.43,3919.58
2024,Madhya Pradesh,250.24,203.78,120001,Afforestation,19.35,1256.08,155.83,1422.4,492.07,3641,Coal,11.72,4946.72
2020,West Bengal,151.45,517.31,91843,Carbon Capture,18.97,1314.47,10.74,5516.89,429.4,3493,Diesel,9.01,4650.46
2017,Odisha,274.97,594.49,108685,Coal Gasification,31.69,4795.54,81.22,5008.03,210.85,2079,Diesel,25.15,2831.83
2019,Telangana,197.06,586.98,75327,Carbon Capture,23.62,813.77,180.5,7303.71,348.24,479,Diesel,6.17,3738.04
2019,Maharashtra,149.04,392.22,106484,Renewable Energy,13.65,4341.91,89.83,5122.09,380.86,918,Coal,18.45,2578.17
2023,Telangana,280.28,474.2,27128,Carbon Capture,13.55,4493.53,143.58,6706.1,233.06,4102,Coal,29.93,4308.98
2018,Telangana,198.63,119.7,57956,None,18.45,3407.86,154.22,8891.84,165.78,2006,Diesel,28.77,4690.04
2021,Chhattisgarh,143.11,202.57,156916,None,40.94,1949.97,46.26,6030.21,190.1,3491,Diesel,4.98,3502.11
2020,West Bengal,163.59,295.48,196875,Afforestation,42.05,1523.0,170.34,1551.91,83.95,3503,Coal,9.78,3128.58
2022,Chhattisgarh,267.44,518.03,91378,Coal Gasification,17.38,4214.49,174.68,8352.49,80.11,473,Coal,26.71,1689.85
2023,Odisha,114.03,222.43,62671,Carbon Capture,30.45,1355.23,108.52,4143.81,126.3,321,Diesel,22.66,4219.43
2020,Odisha,181.3,264.92,64059,Energy Efficiency,22.54,2545.82,90.39,3739.95,427.89,2043,Coal,11.41,2754.39
2020,Maharashtra,266.01,132.73,36564,Afforestation,26.45,1115.64,91.72,7193.47,79.82,1221,Gas,16.71,3249.14
2024,Jharkhand,201.36,255.51,22573,Energy Efficiency,22.33,2510.65,39.12,5959.11,306.9,1366,Gas,8.47,2350.79
2022,Jharkhand,166.2,593.39,99702,Afforestation,13.37,1646.24,139.61,798.55,163.29,1779,Coal,7.14,1345.63
2020,Chhattisgarh,129.21,188.93,194883,Coal Gasification,38.55,4083.06,114.16,7267.62,441.96,1368,Coal,12.6,200.75
2024,Maharashtra,113.79,357.94,18648,None,28.83,3024.26,73.31,1276.8,456.37,4397,Coal,16.48,2588.41
2023,Jharkhand,117.62,229.38,22999,Carbon Capture,45.4,2660.1,124.32,1487.4,74.55,2329,Gas,26.1,3722.86
2018,Telangana,112.01,316.84,154432,Energy Efficiency,12.0,3135.96,78.05,680.9,90.19,1387,Coal,17.29,3539.84
2015,Maharashtra,61.3,308.56,62056,Renewable Energy,20.75,2789.82,121.43,2877.16,93.64,3250,Coal,25.71,1245.64
2017,Jharkhand,192.99,175.61,56203,None,25.51,3087.92,13.07,2050.42,81.01,667,Coal,0.31,4232.32
2017,West Bengal,184.3,226.75,83518,Carbon Capture,32.88,3810.36,73.42,1328.21,490.5,917,Coal,0.83,277.3
2024,Odisha,153.39,236.48,181518,Energy Efficiency,31.54,2023.71,186.87,7214.79,202.4,3324,Diesel,18.02,2451.46
2017,Telangana,221.32,418.51,18806,Coal Gasification,12.75,1419.36,58.81,8712.72,109.68,3187,Gas,8.85,4392.08
2016,Odisha,112.21,385.41,181329,Afforestation,18.53,3070.28,79.31,5613.74,451.93,3129,Coal,29.36,3662.07
2015,Telangana,130.65,439.59,65080,Renewable Energy,38.41,1516.63,175.19,8040.91,66.12,4211,Diesel,8.77,1561.95
2016,Telangana,261.76,264.97,139022,Renewable Energy,17.34,3883.71,14.97,9181.25,322.31,2767,Coal,11.3,716.28
2016,Chhattisgarh,146.42,378.57,166038,Carbon Capture,14.56,2704.94,153.66,9475.29,154.59,3894,Coal,22.06,3490.11
2024,Maharashtra,241.06,194.87,170156,Energy Efficiency,15.46,1675.39,90.33,7641.03,50.27,4762,Gas,15.03,1370.09
2017,West Bengal,113.7,359.21,144395,Afforestation,21.63,943.51,156.36,7144.65,281.1,3324,Coal,27.31,2359.06
2015,Madhya Pradesh,275.45,453.64,145054,Coal Gasification,9.58,3275.92,66.5,3763.46,471.21,2481,Diesel,14.2,1234.67
2016,Madhya Pradesh,120.03,564.15,65246,None,21.47,1069.56,14.08,9730.62,211.66,2541,Gas,9.01,4898.14
2017,Maharashtra,195.77,482.58,28838,Coal Gasification,46.06,1694.61,135.45,6781.48,357.14,1604,Diesel,9.4,4963.12
2019,Maharashtra,267.44,170.54,47492,Afforestation,43.0,2704.24,64.21,4766.74,313.76,3211,Gas,16.68,2494.57
2019,Madhya Pradesh,206.22,249.84,175974,Coal Gasification,26.26,2210.75,56.0,4055.24,450.78,1453,Gas,17.5,4590.61
2018,Maharashtra,270.59,344.63,40909,Coal Gasification,48.29,2070.36,24.45,7407.52,326.57,1231,Coal,9.98,432.61
2021,Odisha,143.12,409.12,69472,Energy Efficiency,18.85,4780.33,144.13,4363.28,216.87,3771,Diesel,21.17,154.86
2024,Telangana,97.62,189.25,168568,Carbon Capture,21.41,2654.29,162.61,5048.04,55.35,2294,Coal,16.46,3628.18
2015,West Bengal,151.76,431.13,80785,Energy Efficiency,23.51,1763.3,123.1,2107.76,342.27,361,Gas,1.64,575.6
2015,Madhya Pradesh,212.87,273.76,168282,Carbon Capture,28.69,1297.8,28.99,253.64,68.19,1035,Gas,7.26,2271.01
2020,Chhattisgarh,201.31,120.79,106487,Coal Gasification,41.53,3412.51,80.31,8967.19,211.04,3519,Gas,21.6,1807.45
2015,West Bengal,85.52,196.78,40441,None,44.74,815.56,29.39,7470.52,352.39,701,Diesel,22.1,693.32
2021,Maharashtra,61.68,526.65,180035,Afforestation,47.26,1524.81,114.37,9602.02,482.11,4092,Gas,17.95,1987.38
2015,Telangana,105.36,494.06,102157,Carbon Capture,5.16,519.0,99.1,4889.24,193.14,1480,Coal,17.13,564.68
2018,West Bengal,125.86,591.68,98384,Carbon Capture,35.89,1223.77,115.74,8139.36,187.98,4442,Coal,2.84,4013.74
2022,Maharashtra,116.55,346.09,32536,None,36.82,1047.06,27.34,6751.67,416.44,1835,Diesel,18.37,1375.02
2016,Jharkhand,110.21,225.0,57044,Coal Gasification,29.65,1135.75,114.9,2862.73,362.33,1532,Diesel,2.99,1760.58
2018,Chhattisgarh,193.95,337.67,157798,None,6.11,1045.85,51.42,3327.67,55.67,2760,Diesel,13.86,1109.17
2024,Madhya Pradesh,121.17,322.94,116128,Afforestation,11.19,3955.85,97.24,3686.78,126.17,3127,Diesel,9.47,4215.96
2016,Madhya Pradesh,230.39,159.22,100190,Afforestation,13.84,3609.72,101.86,7711.36,146.91,3323,Diesel,9.12,189.91
2018,Telangana,106.48,523.56,131836,Carbon Capture,46.64,2604.73,196.53,3202.6,344.86,4333,Diesel,15.93,3955.32
2016,Chhattisgarh,107.36,463.05,194364,Renewable Energy,33.47,1163.47,138.74,4714.65,168.27,2620,Diesel,26.34,950.59
2024,Odisha,109.41,530.56,75309,Afforestation,41.05,3111.03,192.41,8998.94,434.93,2083,Gas,8.3,3139.39
2024,West Bengal,57.85,152.19,171665,Renewable Energy,32.14,1143.08,152.85,2821.04,110.42,764,Gas,0.12,1583.25
2020,West Bengal,254.5,140.33,54888,Energy Efficiency,13.0,2034.46,79.62,7255.51,277.01,3387,Gas,29.7,2082.2
2017,Madhya Pradesh,196.03,368.56,152844,Coal Gasification,44.09,3489.21,72.38,6880.55,348.4,1227,Diesel,24.16,529.12
2021,Maharashtra,271.93,495.39,194423,Afforestation,18.3,1473.17,140.96,6371.02,179.12,1734,Coal,7.87,3584.86
2022,Odisha,149.29,572.46,110489,Energy Efficiency,25.26,543.43,17.83,7386.96,432.91,4889,Diesel,1.17,1722.47
2019,Telangana,156.15,325.31,185890,Afforestation,16.24,1192.26,133.22,8300.07,417.49,1828,Gas,14.48,668.19
2019,Chhattisgarh,117.3,226.39,24769,None,22.0,4944.4,144.75,7013.69,111.42,1047,Gas,16.51,1633.0
2024,Chhattisgarh,226.63,312.84,96852,Coal Gasification,9.6,1652.54,83.66,2908.69,140.51,906,Diesel,12.33,1434.92
2015,Maharashtra,194.43,501.57,111877,Afforestation,42.96,4198.77,36.05,5996.05,353.49,3025,Gas,13.05,1055.72
2019,Jharkhand,194.08,225.23,140125,Carbon Capture,34.55,3727.02,56.1,7937.18,218.01,4086,Coal,29.6,1702.11
2017,West Bengal,137.94,505.12,62759,Energy Efficiency,43.87,1927.72,12.91,291.18,52.79,1911,Coal,3.59,1606.74
2023,Telangana,279.17,592.89,100161,Renewable Energy,32.97,3622.27,36.0,7256.62,261.23,2546,Gas,10.75,702.2
2018,Madhya Pradesh,104.85,184.43,79117,Coal Gasification,30.16,1492.56,40.32,9277.31,282.4,2354,Coal,12.76,2509.29
2019,Jharkhand,243.32,301.27,175538,Afforestation,38.25,3871.71,22.4,8530.6,401.57,3554,Diesel,6.43,590.86
2023,Maharashtra,90.0,105.89,82317,None,26.01,2016.84,159.15,732.35,454.32,3986,Gas,13.03,743.68
2024,West Bengal,78.14,482.73,137079,Carbon Capture,9.91,2542.37,160.26,9040.5,282.31,2821,Gas,23.29,571.12
2018,Telangana,90.84,184.34,132655,Coal Gasification,15.27,3379.85,36.34,7355.21,403.03,4947,Gas,15.18,4510.94
2018,Telangana,248.49,257.72,50430,Energy Efficiency,23.78,2581.9,126.7,7469.34,309.85,4187,Diesel,7.48,4521.53
2016,Telangana,89.29,208.3,171754,Energy Efficiency,27.59,2941.02,153.6,5349.98,424.78,1238,Diesel,12.08,3328.02
2020,Maharashtra,142.82,166.0,17071,Renewable Energy,28.66,1029.92,188.39,7862.64,217.99,2388,Diesel,16.96,4085.16
2019,Telangana,275.18,576.18,76493,Afforestation,37.24,904.33,115.24,3088.85,359.64,2738,Gas,25.97,3518.09
2021,Telangana,180.87,428.53,90413,Carbon Capture,33.85,655.45,129.61,3508.78,273.92,3274,Gas,17.71,1159.23
2016,Jharkhand,195.31,555.81,150856,Coal Gasification,11.9,4367.23,126.06,4776.46,91.21,2541,Gas,14.5,2771.36
2021,Chhattisgarh,209.43,518.38,33890,Carbon Capture,12.84,4648.49,151.74,8187.48,69.11,3982,Coal,2.48,2237.25
2024,Chhattisgarh,210.41,231.69,64483,Renewable Energy,18.76,3256.66,163.11,7710.89,335.26,1113,Gas,5.02,4754.24
2020,Jharkhand,197.93,128.81,173376,Carbon Capture,24.92,1173.79,163.86,3753.73,209.97,748,Diesel,9.91,3237.91
2015,Chhattisgarh,169.17,531.11,32993,None,48.44,678.29,198.81,5558.33,439.05,4506,Diesel,0.65,761.25
2018,Odisha,239.78,450.9,165011,Renewable Energy,45.95,3271.52,138.29,765.36,122.43,4886,Diesel,21.23,2235.07
2022,Jharkhand,74.47,462.96,48059,None,40.66,2234.7,59.96,3560.4,121.18,4191,Gas,14.65,4030.16
2022,Jharkhand,140.21,573.63,191602,Carbon Capture,10.5,2828.64,50.42,1062.3,224.76,3367,Coal,29.24,297.16
2017,Telangana,280.03,234.32,145335,Renewable Energy,36.11,3303.6,83.66,6480.81,63.14,1494,Diesel,8.39,4419.9
2020,Jharkhand,127.04,380.26,60372,Coal Gasification,26.1,1753.57,162.98,3287.03,405.52,876,Gas,25.58,2578.85
2020,Maharashtra,63.49,325.82,61934,Renewable Energy,19.44,2160.7,51.66,903.03,50.42,4375,Diesel,12.88,843.8
2015,West Bengal,290.36,408.42,81256,Carbon Capture,46.03,1721.55,88.42,2134.81,380.46,1318,Coal,20.78,3287.57
2020,Madhya Pradesh,69.75,214.81,130762,None,41.46,3664.16,95.45,7083.26,209.0,1355,Gas,18.58,3650.32
2021,Odisha,65.97,171.9,41299,None,34.39,3988.99,48.03,5183.27,318.75,4015,Coal,28.84,2817.16
2018,Madhya Pradesh,251.58,301.63,105948,None,17.32,2114.83,147.67,5494.16,288.58,1367,Diesel,14.36,2993.53
2024,Madhya Pradesh,215.34,563.97,16661,Renewable Energy,23.27,2674.59,89.6,8624.7,339.75,725,Diesel,21.74,3401.86
2020,Telangana,59.75,266.83,31314,Renewable Energy,11.36,1815.43,59.05,2345.11,450.58,1653,Coal,22.63,1135.9
2024,Jharkhand,299.06,349.58,98844,Carbon Capture,40.63,4113.3,21.95,9448.47,308.18,2120,Diesel,23.26,1059.33
2017,Madhya Pradesh,194.39,159.91,152548,Carbon Capture,30.54,772.75,162.97,3803.68,220.92,1456,Diesel,23.02,4817.04
2015,West Bengal,145.38,216.58,94642,None,23.85,4168.46,151.62,1562.76,141.54,2879,Gas,12.8,3051.19
2020,Maharashtra,227.73,289.63,25838,Afforestation,7.51,743.07,168.0,3206.83,338.54,2862,Diesel,13.88,2126.83
2023,Odisha,87.96,472.06,188086,Afforestation,7.47,4314.26,134.12,5799.69,150.27,2977,Coal,28.22,3673.52
2017,Odisha,214.09,402.44,119762,None,30.52,4842.0,41.09,680.36,86.14,2401,Gas,12.44,439.0
